timestamp_ms,accx,accy,accz,gyrox,gyroy,gyroz,magx,magy,magz,rssi_MAC1,rssi_MAC2
41204,0.0807,0.1085,1.0183,7.6294,-3.1128,-4.0283,-9,-51,4,-86,-83
41650,-0.2329,0.265,1.2156,-8.9111,-32.1655,-4.8218,-8,-43,7,-83,   NA 
42080,0.1299,0.2346,0.9093,-3.9062,31.3721,0.061,-9,-37,2,-84,-74
42506,0.5681,-0.0732,0.8883,3.1738,-18.9819,-153.5645,-13,-39,1,-78,   NA 
42951,0.0785,0.1128,1.0317,-14.8926,-4.7607,-64.0869,-14,-17,1,-75,-78
43388,0.1821,0.1053,0.9863,-7.5684,2.9297,23.6206,-10,-17,6,-81,   NA 
43828,0.1998,0.1394,0.9841,-0.3052,1.6479,6.8359,-10,-20,6,-82,-79
44254,0.1212,0.1129,0.7986,-3.0518,-11.0474,-2.5024,-12,-18,7,-80,-68
44679,-0.1825,0.035,0.9178,-3.8452,-33.02,9.2773,-8,-19,5,-89,-72
45122,0.2123,0.1982,0.9065,-13.855,20.1416,9.8267,-11,-19,7,-72,-80
45550,0.3118,0.1814,1.0043,0.6104,4.0283,-15.7471,-11,-25,8,-78,-71
45986,0.0782,0.1472,0.8783,9.1553,-3.3569,-13.1836,-10,-21,7,-75,-67
46441,0.288,0.1697,1.337,17.5171,17.6392,5.188,-5,-16,7,-85,-68
46887,0.3445,0.2069,1.0089,4.0283,2.0142,14.7705,-5,-23,11,   NA ,-73
47330,0.1848,0.2277,1.0055,-1.709,8.9722,-2.0142,-1,-21,12,-78,-74
47794,0.0822,0.0607,0.9814,1.77,-23.3154,-4.6387,-5,-23,8,-77,-70
48238,0.1583,0.0485,0.8452,9.5215,12.3291,-2.4414,-4,-14,11,-68,-74
48678,0.3235,0.2456,1.0044,12.146,26.3672,2.9297,-3,-13,10,-73,   NA 
49094,0.2218,0.1343,0.9568,2.3804,-3.1128,-5.3711,-5,-16,9,-68,-67
49519,0.0718,0.1025,1.0118,2.9297,-0.1221,2.3804,-5,-17,7,-81,-68
49951,0.212,0.0941,0.6282,15.686,-25.4517,-4.5166,-8,-11,11,-71,-69
50383,0.2581,0.1956,0.9712,-6.4697,23.9258,-9.7656,-7,-10,13,-79,-67
50815,0.136,0.09,0.9437,0.1831,6.897,-7.8125,-5,-13,7,-78,-66
51249,-0.0552,0.1013,1.1238,-4.6997,-5.0049,-2.1362,-7,-11,8,-76,-66
51679,0.2567,0.1732,1.1708,-3.418,-28.9307,15.0757,-7,-4,5,-73,-64
52121,0.27,0.1837,1.1029,0.7324,1.2817,-12.085,-5,-8,8,-73,-62
52552,0.1299,0.1364,1.0116,4.3945,19.8364,-11.6577,-8,-12,12,-83,-63
53005,-0.0339,0.1277,1.1914,-6.4697,-19.4092,15.564,-7,-7,10,-78,-61
53441,0.2528,0.0831,0.7683,-14.8315,26.6724,-1.3428,-9,-6,8,-85,-65
53887,0.1702,0.1538,0.9885,-2.0752,11.7187,-6.5308,-6,-12,10,-80,-63
54326,0.1246,0.0929,0.8928,2.9907,-36.1938,11.5967,-5,-12,10,-76,-65
54780,0.4487,0.2775,0.8282,12.8174,-5.7983,12.5122,-9,-5,10,-85,-69
55201,0.3284,0.2314,0.9995,2.6245,-2.9907,-13.6108,-7,-14,13,-70,-67
55639,0.1487,0.4358,1.0803,43.457,6.4697,215.1489,-13,-18,13,-67,-59
56096,0.2338,-0.1744,1.0016,7.6294,41.5039,27.8931,-17,-53,3,-83,-69
56539,0.2242,0.1028,1.0089,-2.9907,0,-14.2822,-15,-54,6,-76,-65
56948,0.0549,0.0802,0.8815,-5.9204,0.4272,-7.3853,-18,-49,10,-73,-61
57369,0.2179,0.0868,0.6716,35.2173,-25.3296,7.4463,-15,-48,3,-71,-57
57817,0.2057,0.1528,0.9489,0.6104,8.3008,-10.7422,-17,-49,10,-82,-61
58258,0.1555,0.0887,0.9323,5.3101,9.1553,4.8828,-17,-50,9,-80,-63
58693,-0.0675,0.1008,0.9711,-24.7192,-15.0757,-9.3384,-19,-47,8,-75,-62
59123,0.3259,0.27,1.1145,-4.1504,-11.5356,21.3013,-14,-40,8,-86,-64
59551,0.2203,0.1897,0.9414,0.3662,6.2256,-1.1597,-14,-46,3,-75,-64
59983,0.2078,0.1198,0.9215,2.3804,-0.1831,-1.9531,-13,-52,7,-70,-59
60415,-0.0403,0.1083,1.0493,-2.8076,-13.0005,5.188,-15,-48,3,-76,-71
60869,0.4028,0.1442,0.8192,-3.1128,-20.813,-2.5635,-15,-50,2,-78,-60
61300,0.2606,0.179,0.9929,0.5493,3.2349,-0.3052,-14,-50,2,-85,-70
61758,0.1656,0.118,0.9479,-0.7324,12.6953,-9.2773,-14,-52,3,-80,-62
62184,-0.0525,0.1406,1.0148,-13.1226,-17.2729,4.9438,-11,-49,5,-76,-64
62602,0.3221,0.2646,1.1296,-20.0195,8.606,3.7842,-10,-38,1,-73,-67
63041,0.2856,0.1411,0.9285,-5.7983,-3.9673,-8.3618,-8,-41,1,-82,-65
63491,0.1361,0.1532,0.981,-0.1831,4.2114,0.6104,-11,-45,0,-79,-79
63951,-0.1182,0.1384,0.9746,-10.3149,-16.9678,-7.5073,-11,-40,0,-71,-64
64374,0.1781,0.105,0.7072,-2.8076,-3.3569,15.1367,-8,-34,-1,-78,-62
64817,0.2183,0.1464,0.953,2.3804,6.7749,4.8828,-5,-44,-7,-72,-67
